id,name,tier,tier_name,category,funding_display,funding_usd_m,status,owner,founders,confidence,threat,url,what,relationship,coconut_answer
ms-copilot,Microsoft 365 Copilot,0,Platform-native context,Suite-native context,Microsoft: ~$3.8T market cap,3800000,Shipping,Microsoft,,verified,existential,https://microsoft.com,"Org context assembled from the M365 graph — mail, files, chat, calendar, identity — and surfaced across Office, Teams, and Copilot Studio.","Owns the identity layer, the file layer, and the procurement relationship at almost every enterprise Coconut wants. The buyer's default question is not 'is Coconut better' but 'why is this not just Copilot'.","Model-agnostic and not locked to the Microsoft estate. Real, but a harder sell to a CIO already paying for E5."
chatgpt-memory,ChatGPT Memory / Company Knowledge,0,Platform-native context,Platform-native memory,OpenAI: ~$180B raised,180000,Shipping,OpenAI,,verified,existential,https://openai.com,"Persistent memory plus connectors inside ChatGPT. Context is a property of the tool, configured per workspace, and improves with every model release at no extra line item.","The single largest structural risk. Coconut's whole argument is that context must live outside any one tool. That argument only pays if buyers actually run multiple AI vendors. Every month ChatGPT's own memory gets better, the marginal buyer asks why they are paying a second vendor for something bundled.","Model-agnostic portability, and the claim that context is an organizational asset you own rather than a tool configuration you rent."
claude-projects,Claude Projects / Cowork,0,Platform-native context,Platform-native memory,Anthropic: ~$72B raised,72000,Shipping,Anthropic,,verified,existential,https://claude.com,"Project-scoped knowledge, Skills, and MCP connectors inside Claude and Cowork. Anthropic authors the MCP standard Coconut's distribution depends on.","Still the most uncomfortable entry, but narrower than on 2026-08-08. The August reading rested on a supply-chain dependency: Coconut ran Claude Code inside its own instances and shipped skills through the Claude Code plugin marketplace against Anthropic's SKILL.md spec. None of that exists in the product documented at docs.coconut.md — no skills, no marketplace, no SKILL.md, no coding agent. What remains is the ordinary exposure every MCP-native company carries: Anthropic owns the protocol and sells a product one layer up whose every improvement narrows the gap Coconut sells into.","Coconut is the governed org layer Claude Projects is not — owners, ACLs, append-only revisions, a metadata query engine, and reach across every tool. The land is less rented than it was in August, but the protocol is still Anthropic's."
notion-ai,Notion AI,0,Platform-native context,Workspace-native AI,Notion: ~$343M raised,343,Shipping,Notion Labs,,reported,high,https://notion.so,"AI inside the workspace where a great many teams already keep their docs, wikis, and trackers, with enterprise search extending to external connectors.","Path of least resistance. Coconut lists Notion as a source connector, which means for a Notion-native org Coconut is arguing it should sit above the tool that already holds the knowledge and already sells an AI add-on.",Governance depth and model-agnostic distribution. Notion AI is ecosystem-locked.
amdahl,Amdahl,1,Company Brain pure-plays,Context layer (GTM vertical),a16z Speedrun + Precursor,1,Early,Independent,,thin,medium,https://amdahl.ai,"Intelligent context layer / context backbone for AI agents, focused on go-to-market. Ships an MCP server plus a Claude plugin, and serves the most-relevant context with citations rather than the raw MCP firehose.","Same 'context layer' language, narrowed to GTM. Vertical focus is the standard way to beat a horizontal platform in a specific department, and GTM is one of Coconut's named segments.","Coconut spans Leadership, Investors, and Operating Functions rather than one motion."
hyperspell,Hyperspell,1,Company Brain pure-plays,Company brain,Early stage,1,Early,Independent,,thin,low,https://hyperspell.com,"Connects tools and synthesizes documents and conversations into a live, permissioned context graph.",Surfaced during verification as another company-brain entrant. Permissioned context graph is the same primitive. Listed for completeness; not independently profiled.,n/a — insufficient verification to draw a contrast.
hyper,Hyper,1,Company Brain pure-plays,Company brain,YC P26 (Spring 2026),0.5,"Launched, paid pilots",Independent,"Shalin Shah, Kanyes Thaker — San Francisco",verified,high,https://heyhyper.ai,"Self-driving company brain. Ingests Docs, Slack, Email, Calendar, GitHub, and Granola into a self-maintaining knowledge graph, then injects context into Claude Code, Cursor, and ChatGPT via MCP on every prompt turn. Facts carry provenance, staleness tracking, and per-user access control.","The closest functional twin and the primary benchmark. Provenance, staleness, per-user access and MCP injection are Coconut's governance pitch, shipped by a team with public traction. As of 2026-08-18 both companies publish their retrieval architecture, and the contrast is stark: Hyper runs query expansion plus reciprocal rank fusion over embeddings and Postgres full-text search with a ZeroEntropy reranker; Coconut runs Postgres full-text search, with no embeddings, no vector store and no reranker anywhere in 27 pages of documentation.","Not breadth any more — the VM instances, coding agent and skills shelf are gone. What is left is a different bet: that enterprise questions are state questions rather than semantic ones, and that a typed, audited, queryable metadata layer answers them exactly where retrieval answers them probabilistically. Defensible, and nowhere argued in public. Coconut also has documented self-hosting and a space-template gallery; Hyper has neither."
cerenovus,Cerenovus,1,Company Brain pure-plays,Company brain,YC S26,0.5,Pilot customers live,Independent,"Lucas Baur, Oliver Moreland, Jonathan Waldorf — San Francisco",verified,high,https://cerenovus.ai,"Aggregates files, PDFs, emails, Slack, spreadsheets, and meeting notes into a single Markdown-based knowledge graph with native AI-agent integration. Maps the company as a system — people, processes, tools — and infers where operations are inefficient.","The closest architectural match of anyone: Markdown-first knowledge graph, agent-native, and an explicit systems map of the company. Where Coconut has a fixed five-layer taxonomy, Cerenovus infers the structure. If inference works, Coconut's opinionated schema becomes a setup cost rather than a feature.","Coconut has a shipped 1.0, an API, a CLI, deployment options, and a named enterprise reference. Cerenovus has three founders and pilots."
savant,Savant,1,Company Brain pure-plays,Company brain,YC Spring 2026,0.5,Early,"Independent (legal entity Bledger, Inc.)","Anthony Kim (CEO), Kevin Yu (CTO) — San Francisco",verified,medium,https://www.ycombinator.com/companies/savant,"Operational memory layer. Plugs into existing tools to capture written knowledge and undocumented procedures, then serves them to employees and agents at decision time.","Same thesis, different wedge: Savant leads with undocumented procedures — the tribal knowledge nobody wrote down — where Coconut leads with structuring what already exists. Capturing the undocumented is the harder and more defensible half.","Coconut's space agents fold transcripts into memos, which attacks the same problem from the other end."
memory-store,Memory Store,1,Company Brain pure-plays,Company brain,YC P26 (Spring 2026),0.5,Launched,Independent,"Diwank Tomer (Thiel Fellow), Ishita Jindal — San Francisco, 4 employees",verified,medium,https://memory.store,"One shared memory for teammates and agents. Collects from Slack, Gmail, and Granola, synthesizes a company brain, keeps it current, and exposes it to any MCP client. Self-updating 'Briefs' are living docs that rewrite themselves as new memories land.","Briefs are functionally Coconut's living pages. The founders previously built Julep, an open-source agent orchestrator with 7K+ stars, so they have shipped infrastructure at this layer before and arrive with distribution.","Coconut's governance surface — owners, versions, lineage, rollback — is deeper than a self-updating doc."
glen,Glen,1,Company Brain pure-plays,Company brain,YC S26,0.5,Very early — 1 employee,Independent,Nikos Dritsakos — San Francisco,verified,low,https://www.ycombinator.com/companies/glen,"Unified organizational context for every agent and human. Reads code, PRs, issues, docs, and meetings, reconciles them, and gives agents the full picture instead of one slice. Distills completed work into reusable skills.","Distilling finished work back into skills is exactly Coconut's Skills loop. One employee, so this is a directional signal about where the category converges, not a live threat.",Coconut already ships this loop with a skills registry and a marketplace.
corvera,Corvera,1,Company Brain pure-plays,Context layer (CPG vertical),YC W26,0.5,Early,Independent,,reported,low,https://www.ycombinator.com/companies/corvera,Context layer for AI-native CPG brands. Makes a brand's unified data legible to any AI tool via MCP.,"Evidence that the horizontal context layer is already fragmenting into verticals. Not a competitor to Coconut directly, but a preview of how the category gets carved up.",n/a — different buyer.
gbrain,GBrain,1,Company Brain pure-plays,Company brain (open source),"Open source (MIT) — 28,015 stars",0,Active — pushed 2026-08-08,"Garry Tan (President & CEO, Y Combinator)",,verified,high,https://github.com/garrytan/gbrain,"Open-source, Markdown-first, self-wiring knowledge-graph memory for AI agents. Local-first: Markdown files in git plus Postgres with pgvector. Ships as an MCP server. Nightly 'dream cycle' consolidates memory. Multi-user company-brain mode.","The price floor, and the reason Coconut cannot win on architecture alone. Same Markdown-first, git-versioned, MCP-served design, free, and authored by the person who runs the accelerator funding Coconut's closest rivals. 28,015 stars and 4,102 forks as of 2026-08-08, created only 2026-04-05 — that is four months to a number Coconut's own repos will not reach.","Managed connectors, permissions enforced for you, and someone to call at 2am — now backed by documented Docker Compose, Helm and Terraform deployment paths, which is a stronger self-host story than most commercial rivals offer. The same documentation teaches a capable buyer how to price building it. Coconut must still price below the engineering cost of self-hosting GBrain for a 25-50 person team."
palantir,Palantir AIP,2,Enterprise knowledge & Work AI,Ontology-based enterprise AI,~$280B market cap,280000,Public,Palantir,,verified,low,https://palantir.com,Enterprise data and AI platform built on an explicit ontology of the business.,"Palantir has been selling 'model your company as a structured ontology so software can act on it' for two decades. Coconut's five layers are a lightweight, self-serve version of the same conviction. The relevant lesson is that this sale is slow, consultative, and expensive.","Days to value, not quarters. That is the whole difference and it must hold up in a pilot."
moveworks,Moveworks,2,Enterprise knowledge & Work AI,Enterprise agentic AI + search,Acquired by ServiceNow for $2.85B,2850,Acquisition closed 2025-12-15,ServiceNow,,verified,medium,https://moveworks.com,"Enterprise agentic AI copilot and search across Slack, Teams, and ServiceNow, with an agentic reasoning engine.","The proof that this category exits into platform vendors. Announced March 2025, cleared a DOJ second request, closed December 15 2025 — the largest acquisition in ServiceNow's history. Read it two ways: platform vendors will buy rather than build, and a Coconut-shaped company has a credible exit.","Not a head-to-head rival now, but it sets the price and the pattern."
stack-internal,Stack Internal (Stack Overflow),2,Enterprise knowledge & Work AI,Verified knowledge + MCP,"Owned by Prosus (acquired 2022, $1.8B)",1800,Shipping,Prosus,,reported,medium,https://stackoverflow.co,"Private Q&A rebranded as an enterprise knowledge intelligence layer, with an MCP server giving OAuth-secured read/write access to verified knowledge for Copilot, ChatGPT, Cursor, JetBrains, and M365.","The closest incumbent on Coconut's exact combination of MCP distribution plus verified, governed knowledge. Human verification of answers remains a governance primitive Coconut does not have: propose-then-publish review is absent from both of Coconut's documentation sites as of 2026-08-18.","Coconut covers all org knowledge, not developer Q&A."
